category,scientific_name,common_names,conservation_status
Bird,Chordeiles minor,Common Nighthawk,Conserved
Bird,Charadrius semipalmatus,Semipalmated Plover,Conserved
Bird,Charadrius vociferus,Killdeer,Conserved
Bird,Pluvialis dominica,"American Golden-Plover, Lesser Golden-Plover",Conserved
Bird,Chlidonias niger,Black Tern,Species of Concern
Bird,Larus argentatis,Herring Gull,Conserved
Bird,Larus atricilla,Laughing Gull,Species of Concern
Bird,Larus delawarensis,Ring-Billed Gull,Conserved
Bird,Larus philadelphia,Bonaparte's Gull,Conserved
Bird,Sterna fuscata,Sooty Tern,Conserved
Bird,Actitis macularia,Spotted Sandpiper,Conserved
Bird,Calidris minutilla,Least Sandpiper,Conserved
Bird,Calidris pusilla,Semipalmated Sandpiper,Conserved
Bird,Catoptrophorus semipalmatus,Willet,Conserved
Bird,Gallinago gallinago,Common Snipe,Conserved
Bird,Limnodromus griseus,Short-Billed Dowitcher,Conserved
Bird,Phalaropus fulicarius,Red Phalarope,Conserved
Bird,Phalaropus lobatus,Red-Necked Phalarope,Conserved
Bird,Philomachus pugnax,Ruff,Conserved
Bird,Scolopax minor,American Woodcock,Conserved
Bird,Tringa flavipes,Lesser Yellowlegs,Conserved
Bird,Tringa melanoleuca,Greater Yellowlegs,Conserved
Bird,Tringa solitaria,Solitary Sandpiper,Conserved
Bird,Columba livia,"Rock Dove, Common Pigeon, Rock Dove, Rock Pigeon, Rock Pigeon",Conserved
Bird,Ectopistes migratorius,Passenger Pigeon,Conserved
Bird,Zenaida macroura,Mourning Dove,Conserved
Bird,Ceryle alcyon,Belted Kingfisher,Conserved
Bird,Ceryle torquata,Ringed Kingfisher,Conserved
Bird,Coccyzus americanus,Yellow-Billed Cuckoo,Conserved
Bird,Coccyzus erythropthalmus,Black-Billed Cuckoo,Species of Concern
Bird,Falco columbarius,Merlin,Species of Concern
Bird,Falco peregrinus,Peregrine Falcon,Species of Concern
Bird,Falco sparverius,American Kestrel,Conserved
Bird,Colinus virginianus,Northern Bobwhite,Conserved
Bird,Alectoris chukar,"Chukar, Chukar, Chukar Partridge",Conserved
Bird,Bonasa umbellus,Ruffed Grouse,Conserved
Bird,Meleagris gallopavo,Wild Turkey,Conserved
Bird,Pavo cristatus,Peacock,Conserved
Bird,Phasianus colchicus,"Common Pheasant, Ring-Necked Pheasant",Conserved
Bird,Gavia immer,"Common Loon, Common Loon, Great Northern Diver, Great Northern Loon",Species of Concern
Bird,Grus americana,Whooping Crane,Endangered
Bird,Grus canadensis,Sandhill Crane,Conserved
Bird,Fulica americana,American Coot,Conserved
Bird,Gallinula chloropus,Common Moorhen,Conserved
Bird,Porzana carolina,Sora,Conserved
Bird,Rallus elegans,King Rail,Species of Concern
Bird,Rallus limicola,Virginia Rail,Conserved
Bird,Eremophila alpestris,Horned Lark,Conserved
Bird,Bombycilla cedrorum,Cedar Waxwing,Conserved
Bird,Calcarius ornatus,Chestnut-Collared Longspur,Conserved
Bird,Plectrophenax nivalis,Snow Bunting,Conserved
Bird,Cardinalis cardinalis,Northern Cardinal,Conserved
Bird,Guiraca caerulea,Blue Grosbeak,Species of Concern
Bird,Passerina cyanea,Indigo Bunting,Conserved
Bird,Pheucticus ludovicianus,Rose-Breasted Grosbeak,Conserved
Bird,Piranga olivacea,Scarlet Tanager,Conserved
Bird,Piranga rubra,Summer Tanager,Species of Concern
Bird,Spiza americana,Dickcissel,Conserved
Bird,Certhia americana,Brown Creeper,Species of Concern
Bird,Certhia familiaris,Eurasian Treecreeper,Conserved
Bird,Corvus brachyrhynchos,American Crow,Conserved
Bird,Corvus corax,Common Raven,Conserved
Bird,Cyanocitta cristata,Blue Jay,Conserved
Bird,Aimophila aestivalis,Bachman's Sparrow,Species of Concern
Bird,Ammodramus henslowii,Henslow's Sparrow,Conserved
Bird,Ammodramus leconteii,Le Conte's Sparrow,Conserved
Bird,Ammodramus savannarum,Grasshopper Sparrow,Species of Concern
Bird,Chondestes grammacus,Lark Sparrow,Conserved
Bird,Junco hyemalis,Dark-Eyed Junco,Conserved
Bird,Melospiza georgiana,Swamp Sparrow,Conserved
Bird,Melospiza lincolnii,Lincoln's Sparrow,Species of Concern
Bird,Melospiza melodia,Song Sparrow,Conserved
Bird,Passerculus sandwichensis,Savannah Sparrow,Conserved
Bird,Passerella iliaca,"Fox Sparrow, Fox Sparrow, Red Fox Sparrow",Conserved
Bird,Pipilo erythrophthalmus,"Eastern Towhee, Rufous-Sided Towhee",Conserved
Bird,Pooecetes gramineus,Vesper Sparrow,Conserved
Bird,Spizella arborea,American Tree Sparrow,Conserved
Bird,Spizella passerina,Chipping Sparrow,Conserved
Bird,Spizella pusilla,Field Sparrow,Conserved
Bird,Zonotrichia albicollis,White-Throated Sparrow,Conserved
Bird,Zonotrichia atricapilla,Golden-Crowned Sparrow,Conserved
Bird,Zonotrichia leucophrys,White-Crowned Sparrow,Conserved
Bird,Carduelis flammea,Common Redpoll,Conserved
Bird,Carduelis pinus,Pine Siskin,Conserved
Bird,Carduelis tristis,American Goldfinch,Conserved
Bird,Carpodacus mexicanus,House Finch,Conserved
Bird,Carpodacus purpureus,Purple Finch,Conserved
Bird,Coccothraustes vespertinus,Evening Grosbeak,Conserved
Bird,Loxia curvirostra,Red Crossbill,Species of Concern
Bird,Loxia leucoptera,White-Winged Crossbill,Conserved
Bird,Hirundo rustica,Barn Swallow,Conserved
Bird,Petrochelidon pyrrhonota,"Cliff Swallow, American Cliff Swallow, Cliff Swallow",Conserved
Bird,Progne subis,Purple Martin,Species of Concern
Bird,Riparia riparia,"Bank Swallow, Bank Swallow, Sand Martin",Species of Concern
Bird,Stelgidopteryx serripennis,Northern Rough-Winged Swallow,Conserved
Bird,Tachycineta bicolor,Tree Swallow,Species of Concern
Bird,Agelaius phoeniceus,Red-Winged Blackbird,Conserved
Bird,Dolichonyx oryzivorus,Bobolink,Conserved
Bird,Euphagus carolinus,Rusty Blackbird,Conserved
Bird,Icterus galbula,"Baltimore Oriole, Northern Oriole",Conserved
Bird,Icterus spurius,Orchard Oriole,Conserved
Bird,Molothrus ater,Brown-Headed Cowbird,Conserved
Bird,Quiscalus quiscula,Common Grackle,Conserved
Bird,Sturnella magna,Eastern Meadowlark,Conserved
Bird,Xanthocephalus xanthocephalus,Yellow-Headed Blackbird,Conserved
Bird,Lanius ludovicianus,Loggerhead Shrike,Species of Concern
Bird,Dumetella carolinensis,"Gray Catbird, Gray Catbird, Grey Catbird",Conserved
Bird,Mimus polyglottos,"Mockingbird, Northern Mockingbird, Northern Mockingbird",Conserved
Bird,Toxostoma rufum,Brown Thrasher,Conserved
Bird,Anthus rubescens,"Water Pipit, American Pipit",Conserved
Bird,Anthus spinoletta,Water Pipit,Conserved
Bird,Baeolophus bicolor,Tufted Titmouse,Conserved
Bird,Poecile atricapillus,Black-Capped Chickadee,Conserved
Bird,Poecile carolinensis,Carolina Chickadee,Conserved
Bird,Dendroica caerulescens,Black-Throated Blue Warbler,Conserved
Bird,Dendroica castanea,Bay-Breasted Warbler,Conserved
Bird,Dendroica cerulea,Cerulean Warbler,Conserved
Bird,Dendroica coronata,Yellow-Rumped Warbler,Conserved
Bird,Dendroica discolor,Prairie Warbler,Conserved
Bird,Dendroica dominica,Yellow-Throated Warbler,Conserved
Bird,Dendroica fusca,Blackburnian Warbler,Conserved
Bird,Dendroica magnolia,Magnolia Warbler,Conserved
Bird,Dendroica palmarum,Palm Warbler,Conserved
Bird,Dendroica pensylvanica,Chestnut-Sided Warbler,Conserved
Bird,Dendroica petechia,Yellow Warbler,Conserved
Bird,Dendroica pinus,Pine Warbler,Conserved
Bird,Dendroica striata,Blackpoll Warbler,Conserved
Bird,Dendroica tigrina,Cape May Warbler,Conserved
Bird,Dendroica virens,Black-Throated Green Warbler,Conserved
Bird,Geothlypis trichas,Common Yellowthroat,Conserved
Bird,Helmitheros vermivorus,Worm-Eating Warbler,Conserved
Bird,Icteria virens,Yellow-Breasted Chat,Species of Concern
Bird,Limnothlypis swainsonii,Swainson's Warbler,Conserved
Bird,Mniotilta varia,Black-And-White Warbler,Conserved
Bird,Oporornis agilis,Connecticut Warbler,Conserved
Bird,Oporornis formosus,Kentucky Warbler,Conserved
Bird,Oporornis philadelphia,Mourning Warbler,Conserved
Bird,Parula americana,Northern Parula,Conserved
Bird,Protonotaria citrea,Prothonotary Warbler,Conserved
Bird,Seiurus aurocapilla,Ovenbird,Conserved
Bird,Seiurus motacilla,Louisiana Waterthrush,Conserved
Bird,Seiurus noveboracensis,Northern Waterthrush,Conserved
Bird,Setophaga ruticilla,American Redstart,Conserved
Bird,Vermivora bachmanii,"Bachman's Warbler, Bachman's Wood Warbler",Endangered
Bird,Vermivora celata,Orange-Crowned Warbler,Conserved
Bird,Vermivora chrysoptera X pinus,Brewster's Warbler,Conserved
Bird,Vermivora lawrencei,Lawrence's Warbler,Conserved
Bird,Vermivora lawrencii,Lawrence's Warbler,Conserved
Bird,Vermivora leucobronchialis,Brewster's Warbler,Conserved
Bird,Vermivora peregrina,Tennessee Warbler,Conserved
Bird,Vermivora pinus,Blue-Winged Warbler,Conserved
Bird,Vermivora ruficapilla,Nashville Warbler,Species of Concern
Bird,Wilsonia canadensis,Canada Warbler,Conserved
Bird,Wilsonia citrina,Hooded Warbler,Conserved
Bird,Wilsonia pusilla,Wilson's Warbler,Species of Concern
Bird,Passer domesticus,House Sparrow,Conserved
Bird,Polioptila caerulea,"Blue-Gray Gnatcatcher, Blue-Gray Gnatcatcher, Blue-Grey Gnatcatcher",Conserved
Bird,Regulus calendula,Ruby-Crowned Kinglet,Conserved
Bird,Regulus satrapa,Golden-Crowned Kinglet,Conserved
Bird,Sitta canadensis,Red-Breasted Nuthatch,Conserved
Bird,Sitta carolinensis,White-Breasted Nuthatch,Conserved
Bird,Sturnus vulgaris,"European Starling, Common Starling, European Starling",Conserved
Bird,Cistothorus palustris,Marsh Wren,Conserved
Bird,Cistothorus platensis,Sedge Wren,Conserved
Bird,Thryomanes bewickii,Bewick's Wren,Conserved
Bird,Thryomanes bewickii altus,Appalachian Bewick's Wren,Species of Concern
Bird,Thryothorus ludovicianus,Carolina Wren,Conserved
Bird,Troglodytes aedon,House Wren,Conserved
Bird,Troglodytes troglodytes,Winter Wren,Conserved
Bird,Catharus fuscescens,Veery,Conserved
Bird,Catharus guttatus,Hermit Thrush,Conserved
Bird,Catharus minimus,Gray-Cheeked Thrush,Conserved
Bird,Catharus ustulatus,Swainson's Thrush,Conserved
Bird,Hylocichla mustelina,Wood Thrush,Conserved
Bird,Sialia sialis,Eastern Bluebird,Conserved
Bird,Turdus migratorius,American Robin,Conserved
Bird,Contopus borealis,Olive-Sided Flycatcher,Conserved
Bird,Contopus cooperi,Olive-Sided Flycatcher,Species of Concern
Bird,Contopus virens,Eastern Wood-Pewee,Conserved
Bird,Empidonax alnorum,Alder Flycatcher,Conserved
Bird,Empidonax flaviventris,Yellow-Bellied Flycatcher,Conserved
Bird,Empidonax minimus,Least Flycatcher,Conserved
Bird,Empidonax traillii,Willow Flycatcher,Species of Concern
Bird,Empidonax virescens,Acadian Flycatcher,Conserved
Bird,Myiarchus crinitus,Great Crested Flycatcher,Conserved
Bird,Sayornis phoebe,Eastern Phoebe,Conserved
Bird,Tyrannus forficata,Scissor-Tailed Flycatcher,Conserved
Bird,Tyrannus forficatus,Scissor-Tailed Flycatcher,Conserved
Bird,Tyrannus tyrannus,Eastern Kingbird,Conserved
Bird,Tyrannus verticalis,Western Kingbird,Conserved
Bird,Vireo flavifrons,Yellow-Throated Vireo,Conserved
Bird,Vireo gilvus,Warbling Vireo,Conserved
Bird,Vireo griseus,White-Eyed Vireo,Conserved
Bird,Vireo olivaceus,Red-Eyed Vireo,Conserved
Bird,Vireo philadelphicus,Philadelphia Vireo,Conserved
Bird,Vireo solitarius,"Blue-Headed Vireo, Solitary Vireo, Blue-Headed Vireo",Conserved
Bird,Ardea alba,Great Egret,Conserved
Bird,Ardea albus,Great Egret,Conserved
Bird,Ardea herodias,Great Blue Heron,Species of Concern
Bird,Botaurus lentiginosus,American Bittern,Species of Concern
Bird,Butorides virescens,"Green-Backed Heron, Green Heron",Conserved
Bird,Egretta caerulea,Little Blue Heron,Conserved
Bird,Ixobrychus exilis,Least Bittern,Conserved
Bird,Nyctanassa violacea,Yellow-Crowned Night-Heron,Conserved
Bird,Nycticorax nycticorax,"Black-Crowned Night-Heron, Black-Crowned Night Heron",Species of Concern
Bird,Pelecanus erythrorhynchos,American White Pelican,Species of Concern
Bird,Colaptes auratus,Northern Flicker,Conserved
Bird,Dryocopus pileatus,Pileated Woodpecker,Species of Concern
Bird,Melanerpes carolinus,Red-Bellied Woodpecker,Conserved
Bird,Melanerpes erythrocephalus,Red-Headed Woodpecker,Conserved
Bird,Picoides borealis,Red-Cockaded Woodpecker,Endangered
Bird,Picoides pubescens,Downy Woodpecker,Species of Concern
Bird,Picoides villosus,Hairy Woodpecker,Conserved
Bird,Sphyrapicus varius,Yellow-Bellied Sapsucker,Species of Concern
Bird,Podiceps auritus,Horned Grebe,Conserved
Bird,Podilymbus podiceps,Pied-Billed Grebe,Conserved
Bird,Oceanodroma castro,Band-Rumped Storm-Petrel,Conserved
Bird,Aegolius,Saw-Whet Owls,Conserved
Bird,Aegolius acadicus,Northern Saw-Whet Owl,Conserved
Bird,Asio flammeus,Short-Eared Owl,Species of Concern
Bird,Asio otus,Long-Eared Owl,Species of Concern
Bird,Bubo virginianus,Great Horned Owl,Conserved
Bird,Megascops asio,"Eastern Screech Owl, Eastern Screech-Owl, Eastern Screech-Owl",Conserved
Bird,Otus asio,Eastern Screech-Owl,Conserved
Bird,Strix varia,Barred Owl,Conserved
Bird,Tyto alba,"Barn Owl, Common Barn-Owl, Barn Owl",Conserved
Bird,Tytonidae,Barn-Owls,Conserved
Bird,Phalacrocorax auritus,Double-Crested Cormorant,Species of Concern
Reptile,Ophisaurus attenuatus longicaudus,Eastern Slender Glass Lizard,Conserved
Reptile,Carphophis,"Worm Snakes, Wormsnakes",Conserved
Reptile,Carphophis amoenus amoenus,Eastern Worm Snake,Conserved
Reptile,Carphophis amoenus helenae,Midwest Worm Snake,Conserved
Reptile,Cemophora coccinea copei,Northern Scarlet Snake,Conserved
Reptile,Coluber constrictor constrictor,Northern Black Racer,Conserved
Reptile,Diadophis punctatus edwardsii,Northern Ringneck Snake,Conserved
Reptile,Elaphe guttata guttata,Corn Snake,Conserved
Reptile,Elaphe obsoleta obsoleta,Black Rat Snake,Conserved
Reptile,Heterodon platirhinos,Eastern Hognose Snake,Conserved
Reptile,Lampropeltis,"Kingsnakes, Milk Snakes",Conserved
Reptile,Lampropeltis calligaster rhombomaculata,Mole Kingsnake,Conserved
Reptile,Lampropeltis getula getula,Eastern Kingsnake,Conserved
Reptile,Lampropeltis getula nigra,Black Kingsnake,Conserved
Reptile,Lampropeltis triangulum elapsoides,Scarlet Kingsnake,Conserved
Reptile,Lampropeltis triangulum triangulum,Eastern Milk Snake,Conserved
Reptile,Nerodia erythrogaster,Plainbelly Water Snake,Conserved
Reptile,Nerodia erythrogaster flavigaster,"Yellowbelly Water Snake, Yellowbelly Watersnake",Conserved
Reptile,Nerodia sipedon sipedon,Northern Water Snake,Conserved
Reptile,Opheodrys aestivus aestivus,Eastern Rough Green Snake,Conserved
Reptile,Pituophis melanoleucus melanoleucus,Northern Pine Snake,Species of Concern
Reptile,Regina septemvittata,Queen Snake,Species of Concern
Reptile,Storeria dekayi dekayi,Northern Brown Snake,Conserved
Reptile,Storeria dekayi wrightorum,Midland Brown Snake,Conserved
Reptile,Storeria occipitomaculata occipitomaculata,Northern Redbelly Snake,Conserved
Reptile,Tantilla coronata,Southeastern Crowned Snake,Conserved
Reptile,Thamnophis sirtalis sirtalis,Common Garter Snake,Conserved
Reptile,Virginia valeriae valeriae,Eastern Earth Snake,Conserved
Reptile,Anolis carolinensis carolinensis,Northern Green Anole,Conserved
Reptile,Sceloporus undulatus hyacinthinus,Northern Fence Lizard,Conserved
Reptile,Eumeces anthracinus,Coal Skink,Conserved
Reptile,Eumeces fasciatus,Five-Lined Skink,Conserved
Reptile,Eumeces inexpectatus,Southeastern Five-Lined Skink,Conserved
Reptile,Eumeces laticeps,Broadhead Skink,Conserved
Reptile,Scincella lateralis,Ground Skink,Conserved
Reptile,Cnemidophorus sexlineatus sexlineatus,Eastern Six-Lined Racerunner,Conserved
Reptile,Agkistrodon contortrix mokasen,Northern Copperhead,Conserved
Reptile,Crotalus horridus,Timber Rattlesnake,Conserved
Reptile,Chelydra serpentina serpentina,Common Snapping Turtle,Conserved
Reptile,Chrysemys picta marginata,Midland Painted Turtle,Conserved
Reptile,Chrysemys picta picta,Eastern Painted Turtle,Conserved
Reptile,Clemmys muhlenbergii,Bog Turtle,Conserved
Reptile,Graptemys geographica,"Common Map Turtle, Map Turtle",Conserved
Reptile,Graptemys ouachitensis,Ouachita Map Turtle,Conserved
Reptile,Terrapene carolina carolina,Eastern Box Turtle,Conserved
Reptile,Trachemys scripta,Slider,Conserved
Reptile,Trachemys scripta troostii,Cumberland Slider,Conserved
Reptile,Sternotherus minor peltifer,"Stripeneck Musk Turtle, Stripe-Necked Musk Turtle",Conserved
Reptile,Sternotherus odoratus,Common Musk Turtle,Conserved
Reptile,Apalone spinifera spinifera,"Eastern Spiny Softshell, Northern Spiny Softshell Turtle",Conserved
Amphibian,Bufo americanus americanus,Eastern American Toad,Conserved
Amphibian,Bufo fowleri,"Fowler's Toad, Woodhouse's Toad",Conserved
Amphibian,Acris crepitans crepitans,Northern Cricket Frog,Conserved
Amphibian,Hyla chrysoscelis,Cope's Gray Treefrog,Conserved
Amphibian,Hyla versicolor,Gray Treefrog,Conserved
Amphibian,Pseudacris brachyphona,Mountain Chorus Frog,Conserved
Amphibian,Pseudacris crucifer crucifer,Northern Spring Peeper,Conserved
Amphibian,Pseudacris feriarum feriarum,Upland Chorus Frog,Conserved
Amphibian,Pseudacris triseriata,"Striped Chorus Frog, Western Chorus Frog",Conserved
Amphibian,Gastrophryne carolinensis,Eastern Narrow-Mouthed Toad,Conserved
Amphibian,Rana catesbeiana,"American Bullfrog, American Bullfrog, Bullfrog",Conserved
Amphibian,Rana clamitans melanota,Northern Green Frog,Conserved
Amphibian,Rana palustris,Pickerel Frog,Conserved
Amphibian,Rana pipiens,Northern Leopard Frog,Conserved
Amphibian,Rana sphenocephala,Southern Leopard Frog,Conserved
Amphibian,Rana sylvatica,Wood Frog,Conserved
Amphibian,Scaphiopus holbrookii holbrookii,Eastern Spadefoot,Conserved
